Author,n,Sex,Group,Health,Age_grp,Age_M,Age_SD,Age_SEM,BWgt_M,BWgt_SD,BWgt_SEM,RT_status,RT_yr_min,RT_yr_M,RT_yr_SD,Equipment,Exercise,Upper_Lower,%1RM,Limb,Pace_method,CON_s,ECC_s,Sum_s,Contraction,ECC_CON_Reps_M,ECC_CON_Reps_SD,ECC_CON_Reps_SEM,ECC_CON_Reps_MIN,ECC_CON_Reps_MAX,ECC_CON_1RM_M,ECC_CON_1RM_SD,ECC_CON_1RM_ratio_M,ECC_CON_1RM_ratio_SD,ECC_1RM_M,ECC_1RM_SD,CON_1RM_M,CON_1RM_SD,ABT_Bwgt,ABT_Hgt
Carlson.PerceptMotSkills.1970,36,M,G1,Healthy,Adult 18-59,20.3,,,76.19,,,,,,,Machine,Biceps curl,Upper,30,Unilateral,,,,4,ECC-CON,109.69,81.25,,36,310,66.94,7.48,0.879,,,,,,NO,NO
Carlson.PerceptMotSkills.1970,36,M,G1,Healthy,Adult 18-59,20.3,,,76.19,,,,,,,Machine,Biceps curl,Upper,45,Unilateral,,,,4,ECC-CON,42.78,24.6,,23,108,67.24,7.24,0.883,,,,,,NO,NO
Carlson.PerceptMotSkills.1970,36,M,G1,Healthy,Adult 18-59,20.3,,,76.19,,,,,,,Machine,Biceps curl,Upper,60,Unilateral,,,,4,ECC-CON,20.69,8.48,,10,47,67.83,8.16,0.89,,,,,,NO,NO
Carlson.PerceptMotSkills.1970,36,M,G1,Healthy,Adult 18-59,20.3,,,76.19,,,,,,,Machine,Biceps curl,Upper,75,Unilateral,,,,4,ECC-CON,11.05,4.31,,5,24,67.99,7.35,0.892,,,,,,NO,NO
Carvalho.JSCR.2019,10,M,G1,Healthy,Adult 18-59,22,2,,77,2,,Trained,,5.6,1.7,,Knee extension,Lower,85,Unilateral,Max velocity,,,,ECC-CON,14.82,2.5,,,,71,2,0.92,,,,,,NO,NO
Cesareo.JIntSocSportsNutr.2019,12,M,G1,Healthy,Adult 18-59,23.2,3.1,,83,7,,Trained,1,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,12,3,,,,117,16,1.4,0.2,,,,,NO,NO
Cesareo.JIntSocSportsNutr.2019,12,M,G1,Healthy,Adult 18-59,23.2,3.1,,83,7,,Trained,1,,,Barbell,Squat,Lower,70,Bilateral,,,,,ECC-CON,11,4,,,,148,21,1.7,0.2,,,,,NO,NO
Chilibeck.ApplPhysiolNutrMetab.2007,9,M,G1,Healthy,Adult 18-59,27.2,2.8,,95.1,6.9,,Trained,,,,,Bench press,Upper,75,Bilateral,,,,,ECC-CON,11,2.1,,,,152,15,1.598,,,,,,NO,NO
Chilibeck.ApplPhysiolNutrMetab.2007,9,M,G2,Healthy,Adult 18-59,26.4,3,,84.2,4,,Trained,,,,,Bench press,Upper,75,Bilateral,,,,,ECC-CON,11.4,4.2,,,,155,11,1.841,,,,,,NO,NO
Chilibeck.ApplPhysiolNutrMetab.2007,9,M,G1,Healthy,Adult 18-59,27.2,2.8,,95.1,6.9,,Trained,,,,,Leg press,Lower,75,Bilateral,,,,,ECC-CON,16,5.1,,,,254,23,2.671,,,,,,NO,NO
Chilibeck.ApplPhysiolNutrMetab.2007,9,M,G2,Healthy,Adult 18-59,26.4,3,,84.2,4,,Trained,,,,,Leg press,Lower,75,Bilateral,,,,,ECC-CON,12.9,6,,,,270,26,3.207,,,,,,NO,NO
Chromiak.Nutrition.2004,15,M,G1,Healthy,Adult 18-59,22.1,1.8,,79.2,15.7,,,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,4.6,1.5,,,,92,23.1,1.162,,,,,,NO,NO
Chromiak.Nutrition.2004,18,M,G2,Healthy,Adult 18-59,22.2,3,,83.6,14.2,,,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,4.3,1.3,,,,96.5,25.8,1.154,,,,,,NO,NO
Chromiak.Nutrition.2004,15,M,G1,Healthy,Adult 18-59,22.1,1.8,,79.2,15.7,,,,,,Machine,Leg press,Lower,85,Bilateral,,,,,ECC-CON,8.4,4.1,,,,254.7,64.8,3.216,,,,,,NO,NO
Chromiak.Nutrition.2004,18,M,G2,Healthy,Adult 18-59,22.2,3,,83.6,14.2,,,,,,Machine,Leg press,Lower,85,Bilateral,,,,,ECC-CON,9.2,4.8,,,,269.7,67.2,3.226,,,,,,NO,NO
Clarke.EurJSportSci.2017,12,M,G1,Healthy,Adult 18-59,23,3,,75.4,7.5,,Trained,,0.83,,,Bench press,Upper,60,Bilateral,,,,,ECC-CON,21.98,4.12,,,,,,,,,,,,YES,YES
Clarke.EurJSportSci.2017,12,M,G1,Healthy,Adult 18-59,23,3,,75.4,7.5,,Trained,,0.83,,,Squat,Lower,60,Bilateral,,,,,ECC-CON,26.46,5.54,,,,,,,,,,,,YES,YES
Clarke.JSCR.2015,15,M,G1,Healthy,Adult 18-59,21,2,,77,6,,Trained,0.5,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,21.23,4.53,,,,88.08,18.08,1.144,,,,,,NO,NO
Clemons.JSCR.2004,60,F,G1,Healthy,Adult 18-59,20.7,2.15,,64.5,13.1,,,,,,Machine,Lat pulldown,Upper,70,Bilateral,Metronome,1,2,3,ECC-CON,13.8,2.52,,,,59.1,7.93,0.916,,,,,,NO,NO
Conrado de Freitas.JSCR.2018,10,M,G1,Healthy,Adult 18-59,22.7,4,,82.3,9.6,,Trained,1,3.5,1.5,,Squat,Lower,70,Bilateral,,1,1,2,ECC-CON,14.71,4.77,,,,106.3,62.9,1.29,,,,,,YES,YES
Cooke.JSCR.2019,58,Mixed,G1,Healthy,Adult 18-59,23,3,,80.65,16.34,,Trained,,5.5,2.5,,Squat,Lower,70,Bilateral,,,,,ECC-CON,14,4,,6,26,142.15,49.66,1.763,,,,,,YES,N0
Coratella.ApplPhysiolNutrMetab.2016,,M,G1,Healthy,Adult 18-59,,,,86.6,14.3,,Trained,3,,,Barbell,Bench press,Upper,50,Bilateral,Metronome,1.5,1.5,3,ECC-CON,22.1,3.2,,,,93.8,18.3,1.08,0.04,,,,,NO,NO
Coratella.ApplPhysiolNutrMetab.2016,,M,G2,Healthy,Adult 18-59,,,,84.6,8.2,,Trained,3,,,Barbell,Bench press,Upper,50,Bilateral,Metronome,1.5,1.5,3,ECC-CON,25.4,3.8,,,,88.6,9.9,1.05,0.06,,,,,NO,NO
Coratella.ApplPhysiolNutrMetab.2016,,M,G3,Healthy,Adult 18-59,,,,84.4,14.2,,Trained,3,,,Barbell,Bench press,Upper,50,Bilateral,Metronome,1.5,1.5,3,ECC-CON,24,4.7,,,,88.7,12.4,1.04,0.08,,,,,NO,NO
Coratella.ApplPhysiolNutrMetab.2016,,M,G4,Healthy,Adult 18-59,,,,86.1,9.2,,Trained,3,,,Barbell,Bench press,Upper,50,Bilateral,Metronome,1.5,1.5,3,ECC-CON,24.4,3.2,,,,89,6.2,1.04,0.06,,,,,NO,NO
Costa.BiolSport.2015,12,M,G1,Healthy,Adult 18-59,24,3.7,,,,,Trained,0.5,,,Machine,Knee extension,Lower,50,Bilateral,,1,2,3,ECC-CON,22.57,3.42,,,,119.11,12.44,,,,,,,NO,NO
Costa.BiolSport.2015,12,M,G1,Healthy,Adult 18-59,24,3.7,,,,,Trained,0.5,,,Machine,Knee extension,Lower,50,Unilateral,,1,2,3,ECC-CON,19.62,2.59,,,,133.33,19.56,,,,,,,NO,NO
Crouter.JSportsSci.2017,3,F,G1,Obesity,Youth <18,,,,,,,,,,,Machine,Leg press,Lower,70,Bilateral,,,,,ECC-CON,10.3,1.5,,,,,,,,,,,,NO,NO
Crouter.JSportsSci.2017,3,F,G1,Obesity,Youth <18,,,,,,,,,,,Machine,Chest press,Upper,70,Bilateral,,,,,ECC-CON,8.7,3.8,,,,,,,,,,,,NO,NO
Crouter.JSportsSci.2017,7,M,G2,Obesity,Youth <18,,,,,,,,,,,Machine,Leg press,Lower,70,Bilateral,,,,,ECC-CON,12,4.8,,,,,,,,,,,,NO,NO
Crouter.JSportsSci.2017,7,M,G2,Obesity,Youth <18,,,,,,,,,,,Machine,Chest press,Upper,70,Bilateral,,,,,ECC-CON,9.1,3.9,,,,,,,,,,,,NO,NO
da Silva Telles.JHumKinetics.2020,16,M,G1,Healthy,Adult 18-59,24.8,2.2,,77.9,6.7,,Trained,,5,1.6,,Bench press,Upper,80,Bilateral,Metronome,2,2,4,ECC-CON,5.4,3.13,,,,87.4,20.1,1.12,,,,,,NO,NO
da Silva Telles.JHumKinetics.2020,16,M,G1,Healthy,Adult 18-59,24.8,2.2,,77.9,6.7,,Trained,,5,1.6,Machine,Leg press,Lower,80,Bilateral,Metronome,2,2,4,ECC-CON,6.05,4.92,,,,284.4,61.8,3.65,,,,,,NO,NO
da Silva.JSportsMedPhysFitness.2015,14,M,G1,Healthy,Adult 18-59,20.9,1.35,,77.62,7.75,,,,,,,Bench press,Upper,80,Bilateral,,,,,ECC-CON,13,,0.93,,,84.71,14.22,1.091,,,,,,YES,YES
da Silva.JSportsMedPhysFitness.2015,14,M,G1,Healthy,Adult 18-59,20.9,1.35,,77.62,7.75,,,,,,Machine,Leg press,Lower,80,Bilateral,,,,,ECC-CON,16.85,,2.56,,,194.3,78.31,2.503,,,,,,YES,YES
Davies.JSCR.2022,10,M,G1,Healthy,Adult 18-59,22.2,6,,86.1,12.9,,Trained,,3.5,1.9,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,4.7,1.3,,,,,,,,,,,,NO,NO
Davies.JSCR.2022,9,M,G2,Healthy,Adult 18-59,19.9,1.7,,78.6,10.1,,Trained,,3.1,2,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,5.2,1.2,,,,,,,,,,,,NO,NO
Davies.JSCR.2022,11,Mixed,G1,Healthy,Adult 18-59,26.1,7.1,,74.24,9.99,,Trained,,3.78,3.64,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,13.91,2.21,,,,66.59,23.16,0.88,0.24,,,,,NO,NO
Davies.JSCR.2022,10,Mixed,G2,Healthy,Adult 18-59,24.59,6.9,,75.57,9.73,,Trained,,5.1,7.22,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,15,2.79,,,,64,29.28,0.84,0.33,,,,,NO,NO
De Moura.IntJExercSci.2022,20,M,G1,Healthy,Adult 18-59,28,4.1,,81.7,7.2,,Trained,1,,,Smith machine,Bench press,Upper,70,Bilateral,,2,2,4,ECC-CON,12.65,2.14,,,,98.4,10.8,1.2,0.1,,,,,NO,NO
De Salles.EurJSportSci.2016,15,,G1,Healthy,Adult 18-59,26.15,1.5,,75,15,,Trained,0.5,,,Smith machine,Squat,Lower,75,Bilateral,Self-paced,,,,ECC-CON,11.27,1.86,,,,,,,,,,,,YES,YES
De Salles.EurJSportSci.2016,15,,G1,Healthy,Adult 18-59,26.15,1.5,,75,15,,Trained,0.5,,,Machine,Leg press,Lower,75,Bilateral,Self-paced,,,,ECC-CON,12.15,2.33,,,,,,,,,,,,YES,YES
De Salles.EurJSportSci.2016,12,,G2,Healthy,Adult 18-59,26.15,1.5,,75,15,,Trained,0.5,,,Barbell,Bench press,Upper,75,Bilateral,Self-paced,,,,ECC-CON,12.6,1.73,,,,,,,,,,,,YES,YES
De Salles.EurJSportSci.2016,12,,G2,Healthy,Adult 18-59,26.15,1.5,,75,15,,Trained,0.5,,,Barbell,Biceps curl,Upper,75,Bilateral,Self-paced,,,,ECC-CON,9.38,1.82,,,,,,,,,,,,YES,YES
Desgorces.JSCR.2010,22,M,G1,Healthy,Adult 18-59,27.7,4.3,,78.1,11,,Trained,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,5.44,1.81,,,,157.2,20.1,2.013,,,,,,NO,NO
Desgorces.JSCR.2010,22,M,G1,Healthy,Adult 18-59,27.7,4.3,,78.1,11,,Trained,,,,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,10.88,2.42,,,,157.2,20.1,2.013,,,,,,NO,NO
Desgorces.JSCR.2010,22,M,G1,Healthy,Adult 18-59,27.7,4.3,,78.1,11,,Trained,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,18.13,3.63,,,,157.2,20.1,2.013,,,,,,NO,NO
Desgorces.JSCR.2010,22,M,G1,Healthy,Adult 18-59,27.7,4.3,,78.1,11,,Trained,,,,Barbell,Bench press,Upper,40,Bilateral,,,,,ECC-CON,39.88,9.06,,,,157.2,20.1,2.013,,,,,,NO,NO
Desgorces.JSCR.2010,22,M,G1,Healthy,Adult 18-59,27.7,4.3,,78.1,11,,Trained,,,,Barbell,Bench press,Upper,20,Bilateral,,,,,ECC-CON,96.68,13.29,,,,157.2,20.1,2.013,,,,,,NO,NO
Desgorces.JSCR.2010,31,M,G2,Healthy,Adult 18-59,20.9,1.7,,76.2,6.1,,Trained,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,6.65,1.81,,,,84.5,12.6,1.109,,,,,,NO,NO
Desgorces.JSCR.2010,31,M,G2,Healthy,Adult 18-59,20.9,1.7,,76.2,6.1,,Trained,,,,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,12.08,3.02,,,,84.5,12.6,1.109,,,,,,NO,NO
Desgorces.JSCR.2010,31,M,G2,Healthy,Adult 18-59,20.9,1.7,,76.2,6.1,,Trained,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,19.34,3.02,,,,84.5,12.6,1.109,,,,,,NO,NO
Desgorces.JSCR.2010,31,M,G2,Healthy,Adult 18-59,20.9,1.7,,76.2,6.1,,Trained,,,,Barbell,Bench press,Upper,40,Bilateral,,,,,ECC-CON,41.69,8.46,,,,84.5,12.6,1.109,,,,,,NO,NO
Desgorces.JSCR.2010,31,M,G2,Healthy,Adult 18-59,20.9,1.7,,76.2,6.1,,Trained,,,,Barbell,Bench press,Upper,20,Bilateral,,,,,ECC-CON,102.11,15.71,,,,84.5,12.6,1.109,,,,,,NO,NO
Desgorces.JSCR.2010,28,M,G3,Healthy,Adult 18-59,21.7,6.6,,69,6.1,,Endurance trained,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,7.85,1.81,,,,70.1,10.2,1.016,,,,,,NO,NO
Desgorces.JSCR.2010,28,M,G3,Healthy,Adult 18-59,21.7,6.6,,69,6.1,,Endurance trained,,,,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,13.29,1.81,,,,70.1,10.2,1.016,,,,,,NO,NO
Desgorces.JSCR.2010,28,M,G3,Healthy,Adult 18-59,21.7,6.6,,69,6.1,,Endurance trained,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,25.98,5.44,,,,70.1,10.2,1.016,,,,,,NO,NO
Desgorces.JSCR.2010,28,M,G3,Healthy,Adult 18-59,21.7,6.6,,69,6.1,,Endurance trained,,,,Barbell,Bench press,Upper,40,Bilateral,,,,,ECC-CON,64.65,12.08,,,,70.1,10.2,1.016,,,,,,NO,NO
Desgorces.JSCR.2010,28,M,G3,Healthy,Adult 18-59,21.7,6.6,,69,6.1,,Endurance trained,,,,Barbell,Bench press,Upper,20,Bilateral,,,,,ECC-CON,160.73,18.73,,,,70.1,10.2,1.016,,,,,,NO,NO
Desgorces.JSCR.2010,29,M,G4,Healthy,Adult 18-59,23.7,4.3,,77.4,9.1,,Endurance trained,,,,Barbell,Bench press,Upper,85,Bilateral,,,,,ECC-CON,7.25,1.21,,,,79.3,10.2,1.025,,,,,,NO,NO
Desgorces.JSCR.2010,29,M,G4,Healthy,Adult 18-59,23.7,4.3,,77.4,9.1,,Endurance trained,,,,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,13.9,4.23,,,,79.3,10.2,1.025,,,,,,NO,NO
Desgorces.JSCR.2010,29,M,G4,Healthy,Adult 18-59,23.7,4.3,,77.4,9.1,,Endurance trained,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,28.4,6.65,,,,79.3,10.2,1.025,,,,,,NO,NO
Desgorces.JSCR.2010,29,M,G4,Healthy,Adult 18-59,23.7,4.3,,77.4,9.1,,Endurance trained,,,,Barbell,Bench press,Upper,40,Bilateral,,,,,ECC-CON,71.3,12.69,,,,79.3,10.2,1.025,,,,,,NO,NO
Desgorces.JSCR.2010,29,M,G4,Healthy,Adult 18-59,23.7,4.3,,77.4,9.1,,Endurance trained,,,,Barbell,Bench press,Upper,20,Bilateral,,,,,ECC-CON,172.21,18.73,,,,79.3,10.2,1.025,,,,,,NO,NO
deVos.JGerontolABiolSciMedSci.2005,112,Mixed,G1,Healthy,Elderly >59,68.5,5.7,,71.44,12.42,,Untrained,,,,Machine,Leg press,Lower,90,Bilateral,,,,,ECC-CON,11,6,,,,,,,,,,,,NO,NO
deVos.JGerontolABiolSciMedSci.2005,112,Mixed,G1,Healthy,Elderly >59,68.5,5.7,,71.44,12.42,,Untrained,,,,Machine,Chest press,Upper,90,Bilateral,,,,,ECC-CON,5,2,,,,,,,,,,,,NO,NO
deVos.JGerontolABiolSciMedSci.2005,112,Mixed,G1,Healthy,Elderly >59,68.5,5.7,,71.44,12.42,,Untrained,,,,Machine,Knee extension,Lower,90,Bilateral,,,,,ECC-CON,4,2,,,,,,,,,,,,NO,NO
deVos.JGerontolABiolSciMedSci.2005,112,Mixed,G1,Healthy,Elderly >59,68.5,5.7,,71.44,12.42,,Untrained,,,,Machine,Seated row,Upper,90,Bilateral,,,,,ECC-CON,6,3,,,,,,,,,,,,NO,NO
deVos.JGerontolABiolSciMedSci.2005,112,Mixed,G1,Healthy,Elderly >59,68.5,5.7,,71.44,12.42,,Untrained,,,,Machine,Knee flexion,Lower,90,Bilateral,,,,,ECC-CON,5,3,,,,,,,,,,,,NO,NO
Dinyer.IntJSporsPhysiolPerf.2019,12,Mixed,G1,Healthy,Adult 18-59,,,,,,,Trained,1,,,Barbell,Deadlift,Lower,50,Bilateral,Metronome,1.3,1.3,2.6,ECC-CON,30,5,,,,143,13,,,,,,,NO,NO
Dinyer.IntJSporsPhysiolPerf.2019,12,Mixed,G1,Healthy,Adult 18-59,,,,,,,Trained,1,,,Barbell,Deadlift,Lower,60,Bilateral,Metronome,1.3,1.3,2.6,ECC-CON,21,5,,,,143,13,,,,,,,NO,NO
Dinyer.IntJSporsPhysiolPerf.2019,12,Mixed,G1,Healthy,Adult 18-59,,,,,,,Trained,1,,,Barbell,Deadlift,Lower,70,Bilateral,Metronome,1.3,1.3,2.6,ECC-CON,14,3,,,,143,13,,,,,,,NO,NO
Dinyer.IntJSporsPhysiolPerf.2019,12,Mixed,G1,Healthy,Adult 18-59,,,,,,,Trained,1,,,Barbell,Deadlift,Lower,80,Bilateral,Metronome,1.3,1.3,2.6,ECC-CON,8,3,,,,143,13,,,,,,,NO,NO
Dinyer.MotorControl.2021,12,Mixed,G1,Healthy,Adult 18-59,22,3,,80.3,15.6,,Trained,,,,Machine,Knee extension,Lower,50,Bilateral,Metronome,1.1,1.1,2.2,ECC-CON,25,3,,20,30,76,20,0.946,,,,,,NO,NO
Dinyer.MotorControl.2021,12,Mixed,G1,Healthy,Adult 18-59,22,3,,80.3,15.6,,Trained,,,,Machine,Knee extension,Lower,80,Bilateral,Metronome,1.1,1.1,2.2,ECC-CON,12,2,,10,16,76,20,0.946,,,,,,NO,NO
Dorgo.JSCR.2009,31,Mixed,G1,Healthy,Adult 18-59,25.5,5.2,,75,17.4,,Mixed,,,,,Bench press,Upper,70,Bilateral,,,,,ECC-CON,13.5,4,,,,67.3,33.2,0.88,0.38,,,,,YES,YES
Dorgo.JSCR.2009,47,Mixed,G2,Healthy,Adult 18-59,25.6,6,,73.9,16,,Mixed,,,,,Bench press,Upper,70,Bilateral,,,,,ECC-CON,14,4.4,,,,61.6,34.3,0.8,0.37,,,,,YES,YES
Dorgo.JSCR.2009,31,Mixed,G1,Healthy,Adult 18-59,25.5,5.2,,75,17.4,,Mixed,,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,17.1,10.6,,,,81.1,35.8,1.07,0.38,,,,,YES,YES
Dorgo.JSCR.2009,47,Mixed,G2,Healthy,Adult 18-59,25.6,6,,73.9,16,,Mixed,,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,15.4,9.4,,,,76.7,38.6,1.02,0.43,,,,,YES,YES
dos Santos Nunes de Moura.FrontSportsActLiving.2021,20,M,G1,Healthy,Adult 18-59,28.6,4.5,,81.2,8.9,,Trained,1,,,Barbell,Half squat,Lower,80,Bilateral,,1,1,2,ECC-CON,11.1,1.8,,,,141.5,22.4,1.73,0.18,,,,,YES,YES
dos Santos Silva.PerceptMotSkills.2021,20,M,G1,Healthy,Adult 18-59,20,1.4,,70.5,2.8,,Trained,0.25,,,Machine,Lat pulldown,Upper,85,Bilateral,Metronome,2,2,4,ECC-CON,4.42,1.1,,,,,,,,,,,,NO,NO
Douris.JSCR.2006,22,F,G1,Healthy,Adult 18-59,24.4,3.5,,59.1,10.1,,Untrained,,,,Machine,Knee extension,Lower,70,Unilateral,,,,,ECC-CON,10.68,2.5,,7,15,66.65,14.6,1.128,,,,,,NO,NO
Dudgeon.JSCR.2017,8,M,G1,Healthy,Adult 18-59,,,,,,,Trained,2,,,,Bench press,Upper,80,Bilateral,,,,,ECC-CON,9,0.85,,,,103,8.49,,,,,,,NO,NO
Dudgeon.JSCR.2017,8,M,G2,Healthy,Adult 18-59,,,,,,,Trained,2,,,,Bench press,Upper,80,Bilateral,,,,,ECC-CON,7,2.55,,,,101,8.49,,,,,,,NO,NO
Dudgeon.JSCR.2017,8,M,G1,Healthy,Adult 18-59,,,,,,,Trained,2,,,,Squat,Lower,80,Bilateral,,,,,ECC-CON,12,5.66,,,,133,14.14,,,,,,,NO,NO
Dudgeon.JSCR.2017,8,M,G2,Healthy,Adult 18-59,,,,,,,Trained,2,,,,Squat,Lower,80,Bilateral,,,,,ECC-CON,14,2.83,,,,124,28.28,,,,,,,NO,NO
Duffey.JSCR.2007,18,Mixed,G1,Healthy,Adult 18-59,,,,73.7,13.6,,Untrained,,,,Barbell,Bench press,Upper,75,Bilateral,Self-paced,,,,ECC-CON,10,3,,4,16,,,,,,,,,NO,NO
Duncan.IntJSportsPhysiolPerform.2009,12,M,G1,Healthy,Adult 18-59,22.7,6,,,,,Trained,2,,,Machine,Knee extension,Lower,60,Unilateral,Metronome,2,2,4,ECC-CON,16.4,4.1,,,,,,,,,,,,NO,NO
Duncan.JSCR.2011,13,M,G1,Healthy,Adult 18-59,22.7,6,,,,,Trained,2,,,Barbell,Bench press,Upper,60,Bilateral,Metronome,2,2,4,ECC-CON,20.4,3.4,,,,,,,,,,,,NO,NO
Duncan.JSCR.2014,8,M,G1,Healthy,Adult 18-59,20,0.9,,78.4,15.6,,Trained,,2.8,0.9,Barbell,Bench press,Upper,80,Bilateral,Metronome,2,2,4,ECC-CON,11.7,3.9,,,,75.3,30.1,0.96,,,,,,NO,NO
Duncan.JSCR.2014,8,M,G1,Healthy,Adult 18-59,20,0.9,,78.4,15.6,,Trained,,2.8,0.9,Barbell,Squat,Lower,80,Bilateral,Metronome,2,2,4,ECC-CON,11.7,7.3,,,,131.4,30.9,1.676,,,,,,NO,NO
Duncan.JSportsMedPhysFitness.2012,18,M,G1,Healthy,Adult 18-59,20.4,1.9,,80.8,17.9,,Trained,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,20.7,3.8,,,,,,,,,,,,NO,NO
Dunkin.JSCR.2017,12,M,G1,Healthy,Adult 18-59,22,1,,80.9,6.1,,Trained,0.5,,,Barbell,Bench press,Upper,40,Bilateral,,,,,ECC-CON,39.9,6.16,,,,91.34,19.4,1.129,,,,,,YES,YES
Durkin.ApplPhysiolNutrMetab.2020,12,M,G1,Healthy,Adult 18-59,22,4,,78.7,7.8,,Trained,2,,,,Bench press,Upper,40,Bilateral,Self-paced,,,,ECC-CON,33.22,,3.27,,,87,21,1.105,,,,,,YES,YES
Durkin.ApplPhysiolNutrMetab.2020,12,M,G1,Healthy,Adult 18-59,22,4,,78.7,7.8,,Trained,2,,,,Squat,Lower,40,Bilateral,Self-paced,,,,ECC-CON,23.58,,1.73,,,123,19,1.563,,,,,,YES,YES
Earnest.ActaPhysiolScand.1995,4,M,G1,Healthy,Adult 18-59,29.5,3.6,,,,,Trained,,10.8,3.2,Barbell,Bench press,Upper,70,Bilateral,Metronome,1,1,2,ECC-CON,11.5,0.8,,,,126.4,20.5,1.5,0.1,,,,,NO,NO
Earnest.ActaPhysiolScand.1995,4,M,G2,Healthy,Adult 18-59,31.8,2.2,,,,,Trained,,11.2,2.4,Barbell,Bench press,Upper,70,Bilateral,Metronome,1,1,2,ECC-CON,11.7,1.8,,,,119.1,13,1.4,0.1,,,,,NO,NO
Eckerson.JSCR.2013,17,M,G1,Healthy,Adult 18-59,21,1,,85.51,9.26,,Trained,,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,14,2,,,,114.07,16.09,1.334,,,,,,NO,NO
Ema.EJAP.2016,14,M,G1,Healthy,Adult 18-59,24,2,,67,9,,Untrained,,,,Machine,Leg press,Lower,40,Unilateral,Metronome,3,3,6,ECC-CON,56,24,,,,,,,,,,,,NO,NO
Ema.EJAP.2016,14,M,G1,Healthy,Adult 18-59,24,2,,67,9,,Untrained,,,,Machine,Leg press,Lower,80,Unilateral,Metronome,3,3,6,ECC-CON,9,2,,,,,,,,,,,,NO,NO
Emanuel.IJSPP.2021a,10,M,G2,Healthy,Adult 18-59,28,6,,80,7,,Trained,,6,4,Barbell,Bench press,Upper,70,Bilateral,Max velocity,,,,ECC-CON,14.1,1.52,,12,16,106,14,1.33,0.17,,,,,NO,NO
Emanuel.IJSPP.2021a,10,M,G1,Healthy,Adult 18-59,28,6,,80,7,,Trained,,6,4,Barbell,Squat,Lower,70,Bilateral,Max velocity,,,,ECC-CON,20.1,6.77,,10,27,137,25,1.73,0.31,,,,,NO,NO
Emanuel.IJSPP.2021a,10,M,G1,Healthy,Adult 18-59,28,6,,80,7,,Trained,,6,4,Barbell,Squat,Lower,80,Bilateral,Max velocity,,,,ECC-CON,13.2,4.13,,6,20,137,25,1.73,0.31,,,,,NO,NO
Emanuel.IJSPP.2021a,10,F,G2,Healthy,Adult 18-59,32,6,,57,8,,Trained,,4,2.5,Barbell,Bench press,Upper,70,Bilateral,Max velocity,,,,ECC-CON,15.6,2.75,,13,21,44,4,0.77,0.08,,,,,NO,NO
Emanuel.IJSPP.2021a,10,F,G2,Healthy,Adult 18-59,32,6,,57,8,,Trained,,4,2.5,Barbell,Squat,Lower,70,Bilateral,Max velocity,,,,ECC-CON,20.7,8.83,,10,36,75,8,1.33,0.21,,,,,NO,NO
Emanuel.IJSPP.2021a,10,F,G2,Healthy,Adult 18-59,32,6,,57,8,,Trained,,4,2.5,Barbell,Squat,Lower,80,Bilateral,Max velocity,,,,ECC-CON,12.9,4.04,,8,21,75,8,1.33,0.21,,,,,NO,NO
Emanuel.IJSPP.2021b,10,F,G1,Healthy,Adult 18-59,29,4,,62,8,,Trained,,3,2.3,Barbell,Bench press,Upper,70,Bilateral,Max velocity,,,,ECC-CON,14.6,3.06,,9,19,45,10,0.71,0.12,,,,,NO,NO
Emanuel.IJSPP.2021b,10,F,G1,Healthy,Adult 18-59,29,4,,62,8,,Trained,,3,2.3,Barbell,Bench press,Upper,83,Bilateral,Max velocity,,,,ECC-CON,7.4,2.11,,5,12,45,10,0.71,0.12,,,,,NO,NO
Emanuel.IJSPP.2021b,10,F,G1,Healthy,Adult 18-59,29,4,,62,8,,Trained,,3,2.3,Barbell,Squat,Lower,70,Bilateral,Max velocity,,,,ECC-CON,23.6,13.95,,12,55,73,15,1.18,0.25,,,,,NO,NO
